id,count
0,14
1,20
2,13
3,14
4,20
5,15
6,15
7,13
8,6
9,5
10,5
11,6
12,9
13,11
14,3
15,8
16,3
17,12
18,12
19,14
20,15
21,3
22,13
23,9
24,5
25,11
26,9
27,8
28,13
29,14
30,8
31,11
32,10
33,4
34,6
35,9
36,11
37,9
38,14
39,11
40,7
41,10
42,10
43,10
44,12
45,6
46,9
47,9
48,8
49,15
50,10
51,2
52,6
53,8
54,8
55,8
56,11
57,14
58,13
59,8
60,3
61,6
62,11
63,10
64,10
65,10
66,13
67,12
68,9
69,11
70,3
71,10
72,7
73,12
74,12
75,13
76,20
77,13
78,14
79,15
80,17
81,19
82,19
83,19
84,10
85,8
86,13
87,14
88,11
89,5
90,12
91,7
92,6
93,10
94,12
95,7
96,10
97,12
98,13
99,12
100,15
101,15
102,7
103,8
104,10
105,9
106,6
107,11
108,10
109,10
110,6
111,4
112,16
113,13
114,10
115,10
116,10
117,20
118,17
119,17
120,22
121,13
122,23
123,10
124,8
125,11
126,8
127,14
128,11
129,12
130,7
131,12
132,16
133,13
134,10
135,10
136,14
137,11
138,11
139,7
140,17
141,10
142,10
143,13
144,11
145,19
146,11
147,10
148,15
149,15
150,9
151,6
152,11
153,8
154,7
155,7
156,10
157,14
158,9
159,10
160,11
161,10
162,9
163,9
164,10
165,15
166,12
167,15
168,14
169,11
170,12
171,8
172,10
173,9
174,12
175,13
176,12
177,11
178,16
179,14
180,18
181,18
182,12
183,20
184,9
185,12
186,15
187,14
188,12
189,5
190,8
191,8
192,9
193,10
194,11
195,10
196,12
197,9
198,10
199,8
200,9
201,9
202,9
203,9
204,11
205,10
206,5
207,5
208,6
209,4
210,9
211,8
212,11
213,9
214,12
215,9
216,11
217,9
218,5
219,11
220,17
221,13
222,13
223,12
224,12
225,13
226,10
227,15
228,13
229,15
230,10
231,14
232,13
233,11
234,10
235,8
236,8
237,7
238,6
239,7
240,8
241,10
242,12
243,13
244,12
245,15
246,15
247,18
248,12
249,16
250,12
251,13
252,12
253,14
254,18
255,13
256,10
257,15
258,14
259,13
260,4
261,5
262,7
263,8
264,9
265,12
266,8
267,10
268,3
269,8
270,11
271,4
272,5
273,6
274,5
275,7
276,14
277,10
278,6
279,11
280,14
281,14
282,13
283,7
284,12
285,11
286,9
287,9
288,12
289,8
290,16
291,20
292,9
293,8
294,14
295,9
296,10
297,16
298,13
299,13
