id,count
0,16
1,20
2,17
3,16
4,25
5,16
6,25
7,23
8,14
9,15
10,14
11,15
12,11
13,14
14,9
15,12
16,7
17,12
18,15
19,23
20,14
21,17
22,15
23,11
24,13
25,13
26,10
27,7
28,12
29,15
30,17
31,19
32,16
33,10
34,12
35,7
36,15
37,13
38,10
39,10
40,8
41,16
42,14
43,12
44,9
45,12
46,11
47,10
48,13
49,18
50,13
51,7
52,6
53,11
54,11
55,10
56,13
57,17
58,20
59,5
60,6
61,8
62,13
63,7
64,17
65,20
66,20
67,19
68,13
69,16
70,8
71,19
72,19
73,12
74,17
75,22
76,20
77,17
78,16
79,15
80,13
81,20
82,26
83,18
84,14
85,15
86,15
87,16
88,11
89,14
90,15
91,10
92,16
93,13
94,18
95,14
96,16
97,19
98,19
99,16
100,18
101,18
102,9
103,11
104,15
105,15
106,12
107,18
108,13
109,13
110,12
111,15
112,18
113,19
114,13
115,12
116,17
117,19
118,17
119,17
120,16
121,20
122,13
123,15
124,12
125,9
126,12
127,14
128,15
129,18
130,15
131,12
132,17
133,14
134,10
135,11
136,13
137,15
138,19
139,19
140,12
141,16
142,11
143,11
144,13
145,16
146,13
147,11
148,18
149,20
150,11
151,4
152,15
153,8
154,16
155,15
156,13
157,9
158,13
159,15
160,14
161,14
162,15
163,18
164,20
165,18
166,18
167,15
168,16
169,12
170,16
171,12
172,13
173,17
174,11
175,14
176,22
177,15
178,17
179,19
180,19
181,21
182,20
183,19
184,17
185,17
186,15
187,17
188,15
189,12
190,13
191,13
192,13
193,17
194,12
195,20
196,22
197,11
198,13
199,15
200,13
201,11
202,20
203,13
204,12
205,15
206,9
207,10
208,15
209,14
210,10
211,9
212,12
213,15
214,12
215,15
216,14
217,9
218,11
219,16
220,21
221,18
222,14
223,15
224,19
225,10
226,11
227,16
228,15
229,17
230,9
231,12
232,17
233,14
234,16
235,12
236,17
237,13
238,13
239,17
240,13
241,12
242,9
243,19
244,20
245,21
246,21
247,16
248,20
249,17
250,11
251,10
252,23
253,16
254,16
255,18
256,16
257,18
258,17
259,10
260,12
261,13
262,9
263,10
264,17
265,14
266,15
267,10
268,9
269,15
270,11
271,14
272,19
273,11
274,12
275,12
276,17
277,9
278,13
279,13
280,16
281,10
282,17
283,14
284,13
285,18
286,10
287,13
288,12
289,10
290,18
291,24
292,13
293,9
294,14
295,12
296,14
297,18
298,18
299,15
300,14
301,18
302,13
303,5
304,10
305,15
306,10
307,11
308,11
309,12
310,16
311,7
312,13
313,14
314,17
315,16
316,12
317,14
318,17
319,22
320,18
321,13
322,16
323,17
324,13
325,12
326,18
327,13
328,12
329,10
330,8
331,8
332,17
333,11
334,6
335,16
336,11
337,6
338,10
339,12
340,14
341,15
342,20
343,11
344,11
345,10
346,18
347,13
348,14
349,14
350,13
351,19
352,17
353,13
354,11
355,15
356,19
357,14
358,15
359,17
360,10
361,10
362,15
363,17
364,15
365,16
366,17
367,13
368,16
369,17
370,18
371,19
372,15
373,9
374,16
375,17
376,17
377,15
378,12
379,13
380,14
381,19
382,16
383,17
384,15
385,16
386,17
387,13
388,20
389,16
390,15
391,17
392,17
393,13
394,10
395,12
396,13
397,12
398,14
399,17
400,12
401,15
402,13
403,16
404,18
405,19
406,19
407,17
408,18
409,16
410,13
411,20
412,16
413,13
414,20
415,22
416,20
417,17
418,19
419,15
420,18
421,14
422,19
423,16
424,20
425,23
426,19
427,20
428,22
429,17
430,18
431,20
432,9
433,8
434,13
435,11
436,17
437,10
438,15
439,9
440,13
441,11
442,14
443,20
444,17
445,15
446,12
447,10
448,14
449,8
450,12
451,11
452,13
453,14
454,14
455,15
456,16
457,18
458,12
459,18
460,15
461,16
462,14
463,12
464,9
465,10
466,9
467,10
468,8
469,10
470,8
471,9
472,12
473,10
474,9
475,5
476,7
477,5
478,7
479,13
480,14
481,10
482,19
483,16
484,13
485,13
486,12
487,11
488,11
489,9
490,9
491,12
492,11
493,16
494,16
495,19
496,13
497,18
498,16
499,15
500,14
501,15
502,15
503,16
504,14
505,21
506,20
507,14
508,15
509,13
510,16
511,13
512,14
513,13
514,12
515,13
516,14
517,9
518,10
519,10
520,16
521,16
522,19
523,18
524,13
525,11
526,10
527,9
528,11
529,5
530,9
531,11
532,12
533,15
534,13
535,14
536,15
537,17
538,12
539,11
540,10
541,7
542,10
543,10
544,13
545,11
546,12
547,14
548,15
549,14
550,12
551,12
552,13
553,10
554,9
555,9
556,16
557,16
558,17
559,15
560,14
561,18
562,11
563,7
564,19
565,13
566,13
567,17
568,17
569,16
570,10
571,11
572,16
573,13
574,14
575,12
576,8
577,9
578,16
579,15
580,14
581,11
582,11
583,13
584,10
585,12
586,15
587,15
588,13
589,15
590,18
591,17
592,13
593,15
594,17
595,8
596,8
597,8
598,10
599,11
600,8
601,13
602,10
603,15
604,14
605,16
606,13
607,13
608,15
